text	Trump	Biden	West	HOF
there are people i follow who 18 months ago were very fired up about child poverty in the united states but don't seem to care much about it now, seemingly because biden has a great program on child poverty. 	Neither	Neutral mentions	Neither	Non-Hateful
realdonaldtrump why would the government stop this when our president is among those guiltiest money launder much,trump trumpcorruption,trumpcrime,votetrumpouttosaveamerica,biden2020- 	Against	Favor	Neither	Non-Hateful
preach brotha! bidenharris2020 	Neither	Favor	Neither	Non-Hateful
jrgaillot joebiden class act gotv genz millennials covid19 republicansforbiden earlyvoting earlyvote absenteeballot teamjoe bidenharris2020	Neither	Favor	Neither	Non-Hateful
okay white women, to the 53% of you who made a terrible decision 4 years ago, i hope you've been paying attention and don't vote for a sexist white supremacist again. do better. votehimout grabhimbytheballot bidenharris2020	Against	Favor	Neither	Hateful
60minutes needs to end the show or norahodonnell contract! what a disgrace. norah needs 2 apologize 2 joe biden kamala harris 4 being completely unprofessional on air. 60 mins has fallen a long way. being rude 2 any guest is unacceptable. my prediction. they never get another 	Neither	Neutral mentions	Neither	Non-Hateful
dancer39532 realdonaldtrump joe biden's a racist and even kamala harris called him out for it 	Neutral mentions	Against	Neither	Non-Hateful
rett94291220 stlemmon lizrnc kamala harris said she believed joe biden's sexual assault accuser. both parties are riddled with contradictions, however, the democrats seem to be more violent to those they disagree with	Mixed	Mixed	Neither	Non-Hateful
realdonaldtrump cuz we're smart here. now give ivanka your phone and go back to bed. bidenharris2020 byedon2020 votethemout pennsylvaniaforbiden typhoiddonny votebluetoendthisnightmare trumpisanationaldisgrace resist	Against	Favor	Neither	Hateful
christianwalk1r it'll be over in november! trump2020	Favor	Neither	Neither	Non-Hateful
scaramucci we say he golf more than he works but he really working (for himself) bidenharris2020 bluetsunami	Neither	Favor	Neither	Non-Hateful
some person is using the votesaveamerica joe bidenkamala harris celebration video as a zoom background during contracts. it's me, i'm the person.	Neither	Favor	Neither	Non-Hateful
so quick question: is there a term limit on being vice president as well like say if kamala was running could she choose joe as her running mate	Neither	Neutral mentions	Neither	Non-Hateful
so now that the election is over let's talk about primarying joe biden and kamala harris	Neither	Neutral mentions	Neither	Non-Hateful
ingrahamangle you all are working pretty damned hard today to take the focus off your guy aren't you lolol come on, admit it, you're ashamed, too. trump made a laughingstock of himself - again. bidenharris2020 	Against	Favor	Neither	Non-Hateful
thereidout if the pennsylvania legislature tried to give trump their electoral votes, the democratic governor could overrule them. trumpliedpeopledied bidenharris2020	Against	Favor	Neither	Non-Hateful
anabelordo babsjayp deadcoco cnnbrk goldstatetimes realdonaldtrump that's your loss. trump2020 realdonaldtrump is winning for all americans. even though you have no reason to hate him, he is still doing everything for you 	Favor	Neither	Neither	Non-Hateful
i voted for joe biden and kamala harris in colorado 	Neither	Favor	Neither	Non-Hateful
sftballfreak natehoot sarich90 trestin scott tomilahren not over till it's over. we're against the ropes, i must admit. trump and supreme court will bounce back. if not, that's fine.i wish kamala, joe and all you anti trumpers the best. i will chill on my best egg until the next election. while joe collapses the economy. lol. ha	Favor	Against	Neither	Non-Hateful
my3monkees i'm a trump supporter but when i'm polled i say i'm voting for biden. wonder how many of you do the same trump2020	Favor	Neutral mentions	Neither	Non-Hateful
deplorables rubes chumps this is what joe biden and the democrats call the american people. and it's wildly unacceptable. 	Neither	Against	Neither	Non-Hateful
very tough, trump said at a fundraiser thursday at the nashville marriott, according to an attendee. there are a couple senators i can't really get involved in. i just can't do it. you lose your soul if you do. i can't help some of them. i don't want to help some of them.	Neutral mentions	Neither	Neither	Non-Hateful
whatever you can say about trump, he's a good enough marketer to know you can't sell a loser. and his 2017 tax scheme is one. bidenharris2020 economy election2020 joebiden2020 taxes 	Against	Favor	Neither	Non-Hateful
trump2020 super power!!! check out us military 's video! tiktok 	Favor	Neither	Neither	Non-Hateful
i voted and i voted for joe biden and kamala harris. i am getting off social media until later. i have railed for years against this administration. i'm gonna hope enough of you have helped me turn this ship around. this is not a not my problem situation. go fookin vote.	Against	Favor	Neither	Non-Hateful
question y'all.. now i know every single network is gonna be showing the same feed, but where y'all tuning in cnn, msnbc, cbs, nbc, abc, fox (yeah, no) or any others just curious who to watch! comment below please! vote debates debates2020 bidenharris2020 	Neither	Favor	Neither	Non-Hateful
mdfacep littlebytesnews cdcdirector another doctor. another expert. another trump hater. coronavirus trump2020	Favor	Neither	Neither	Non-Hateful
sharp208 nfw do i want to even hear trump's voice	Against	Neither	Neither	Hateful
joebiden put every damn ad back on tv. trump is a liar and clearly isn't sick. no way he has covid and then goes for a joy ride. bidenharris2020 jasonmillerisaliar	Against	Favor	Neither	Non-Hateful
in hawaii smiles and maga rallies just go together! maga2020 hawaii4trump 	Favor	Neither	Neither	Non-Hateful
joebiden is so presidential. how can anyone vote for anyone but bidenharris2020	Neither	Favor	Neither	Non-Hateful
trump proves again that he is an ignorant, dangerous leader. joebiden proves he's willing to listen to and work with a diverse group of best and brightest in every field--that's what will make him a terrific potus bidenharris2020 	Against	Favor	Neither	Hateful
