text	Trump	Biden	West	HOF
preach brotha! bidenharris2020 	Neither	Favor	Neither	Non-Hateful
okay white women, to the 53% of you who made a terrible decision 4 years ago, i hope you've been paying attention and don't vote for a sexist white supremacist again. do better. votehimout grabhimbytheballot bidenharris2020	Against	Favor	Neither	Hateful
rett94291220 stlemmon lizrnc kamala harris said she believed joe biden's sexual assault accuser. both parties are riddled with contradictions, however, the democrats seem to be more violent to those they disagree with	Mixed	Mixed	Neither	Non-Hateful
realdonaldtrump cuz we're smart here. now give ivanka your phone and go back to bed. bidenharris2020 byedon2020 votethemout pennsylvaniaforbiden typhoiddonny votebluetoendthisnightmare trumpisanationaldisgrace resist	Against	Favor	Neither	Hateful
some person is using the votesaveamerica joe bidenkamala harris celebration video as a zoom background during contracts. it's me, i'm the person.	Neither	Favor	Neither	Non-Hateful
so quick question: is there a term limit on being vice president as well like say if kamala was running could she choose joe as her running mate	Neither	Neutral mentions	Neither	Non-Hateful
sharp208 nfw do i want to even hear trump's voice	Against	Neither	Neither	Hateful
trump proves again that he is an ignorant, dangerous leader. joebiden proves he's willing to listen to and work with a diverse group of best and brightest in every field--that's what will make him a terrific potus bidenharris2020 	Against	Favor	Neither	Hateful
i went on a job site today all everybody was talking about was how realdonaldtrump destroyed sleepy joe last night. i would never have known all these people were for president trump. in philadelphia! silent no more, people are proudly admitting they are voting maga2020	Favor	Against	Neither	Hateful
breaking: cindy mccain plans to endorse joe biden tomorrow, following the report that trump called our fallen soldiers losers and suckers. good. joeknowsus bidenharris2020 bluewave2020	Neutral mentions	Favor	Neither	Non-Hateful
the biggest threat to our nation dwells within the white house. vote biden. pass it on! bidenharris2020 	Against	Favor	Neither	Hateful
apscoggins fistofnietzsche bruhhh de rexchapman joe biden the alzheimer's patient and the giggling so called black woman. homey never lived in the hood brother she grew up in montreal. the devil doesn't even like kamala.. wait what did u say 4 years ago not my effin president. gotcha big boy!	Neither	Against	Neither	Hateful
this nytimes story isn't even trending but it's one of the biggest stories out right now make sure you read it and share it!! please rt the thread trumpcrimefamily bidenharris2020 	Against	Favor	Neither	Hateful
baltimoresun who can say they've donated their salaries for a greater cause than themselves i didn't think so.. trump2020	Favor	Neither	Neither	Non-Hateful
